source,target,value
irado,acirrado,1.0
irado,agastado,1.0
irado,aquecido,1.0
irado,assanhado,1.0
irado,assomado,1.0
irado,azedado,1.0
irado,bramoso,1.0
irado,bravo,1.0
irado,colérico,1.0
irado,danado,1.0
irado,embravecido,1.0
irado,encanzinado,1.0
irado,encolerizado,1.0
irado,enfurecido,1.0
irado,enfuriado,1.0
irado,enraivado,1.0
irado,enraivecido,1.0
irado,enviperado,1.0
irado,escabreado,1.0
irado,espumante,1.0
irado,estramontado,1.0
irado,exacerbado,1.0
irado,exasperado,1.0
irado,furente,1.0
irado,furibundo,1.0
irado,furioso,1.0
irado,iracundo,1.0
irado,irritado,1.0
irado,rábido,1.0
irado,rabioso,1.0
irado,raivento,1.0
irado,raivoso,1.0
irado,sanhoso,1.0
irado,sanhudo,1.0
irado,zangado,1.0
