source,target,value
jactância,gabarolice,1.0
jactância,gabo,1.0
jactância,gabolice,1.0
jactância,jatância,1.0
jactância,lorota,1.0
jactância,orgulho,1.0
jactância,poeira,1.0
jactância,prosápia,1.0
jactância,tesura,1.0
jactância,vaidade,1.0
jactância,vanglória,1.0
jactância,vento,1.0
jactância,bravata,1.0
jactância,farronca,1.0
jactância,pavonada,1.0
jactância,pimponice,1.0
jactância,prosa,1.0
jactância,prosápia,1.0
jactância,rabularia,1.0
jactância,rabulice,1.0
jactância,rebolaria,1.0
jactância,ronca,1.0
jactância,roncaria,1.0
jactância,ronco,1.0
jactância,blasonaria,1.0
jactância,elação,1.0
jactância,enfunação,1.0
jactância,gabação,1.0
jactância,inchação,1.0
jactância,jatância,1.0
jactância,pomada,1.0
jactância,presunção,1.0
jactância,pretensão,1.0
jactância,proa,1.0
jactância,ufania,1.0
jactância,modéstia,1.0
