source,target,value
jeitoso,cadimo,1.0
jeitoso,destro,1.0
jeitoso,hábil,1.0
jeitoso,habilidoso,1.0
jeitoso,industrioso,1.0
jeitoso,canhestro,1.0
jeitoso,canhoto,1.0
jeitoso,desajeitado,1.0
jeitoso,desastrado,1.0
jeitoso,desazado,1.0
jeitoso,esquerdo,1.0
jeitoso,estabalhoado,1.0
jeitoso,estabanado,1.0
jeitoso,estavanado,1.0
jeitoso,estouvado,1.0
jeitoso,estouvanado,1.0
jeitoso,esperto,1.0
jeitoso,hábil,1.0
jeitoso,habilidoso,1.0
jeitoso,catita,1.0
jeitoso,cortesão,1.0
jeitoso,elegante,1.0
jeitoso,esbelto,1.0
jeitoso,garrido,1.0
jeitoso,gracioso,1.0
jeitoso,desastrado,1.0
jeitoso,deselegante,1.0
jeitoso,desengraçado,1.0
jeitoso,desgraciado,1.0
jeitoso,desgracioso,1.0
jeitoso,inelegante,1.0
jeitoso,ingracioso,1.0
