source,target,value
jubilar,reformar,1.0
jubilar,alborotar,1.0
jubilar,alegrar,1.0
jubilar,alvoroçar,1.0
jubilar,alvorotar,1.0
jubilar,contentar,1.0
jubilar,desentristecer,1.0
jubilar,desmelindrar,1.0
jubilar,destristecer,1.0
jubilar,doirar,1.0
jubilar,dourar,1.0
jubilar,entusiamar,1.0
jubilar,exultar,1.0
jubilar,iluminar,1.0
jubilar,letificar,1.0
jubilar,recrear,1.0
jubilar,regozijar,1.0
jubilar,satisfazer,1.0
jubilar,aleijar,1.0
jubilar,amelindrar,1.0
jubilar,amolestar,1.0
jubilar,apunhalar,1.0
jubilar,atristar,1.0
jubilar,chocar,1.0
jubilar,compungir,1.0
jubilar,contristar,1.0
jubilar,desagradar,1.0
jubilar,embruscar,1.0
jubilar,entristecer,1.0
jubilar,escandalizar,1.0
jubilar,estomagar,1.0
jubilar,ferir,1.0
jubilar,flechar,1.0
jubilar,frechar,1.0
jubilar,machucar,1.0
jubilar,magoar,1.0
jubilar,mazelar,1.0
jubilar,melancolizar,1.0
jubilar,melindrar,1.0
jubilar,molestar,1.0
jubilar,ofender,1.0
jubilar,susceptibilizar,1.0
jubilar,suscetibilizar,1.0
jubilar,vulnerar,1.0
