source,target,value
lanceada,lancear,1.0
lanceada,acossar,1.0
lanceada,afligir,1.0
lanceada,agoniar,1.0
lanceada,alanhar,1.0
lanceada,amachucar,1.0
lanceada,amofinar,1.0
lanceada,angustiar,1.0
lanceada,ansiar,1.0
lanceada,apoquentar,1.0
lanceada,aporrear,1.0
lanceada,atormentar,1.0
lanceada,avexar,1.0
lanceada,cauterizar,1.0
lanceada,comprimir,1.0
lanceada,confranger,1.0
lanceada,contristar,1.0
lanceada,desolar,1.0
lanceada,despedaçar,1.0
lanceada,espremer,1.0
lanceada,golpear,1.0
lanceada,lancear,1.0
lanceada,lancinar,1.0
lanceada,lanhar,1.0
lanceada,morder,1.0
lanceada,oprimir,1.0
lanceada,pungir,1.0
lanceada,ralar,1.0
lanceada,roer,1.0
lanceada,torturar,1.0
lanceada,verrumar,1.0
