source,target,value
languidez,cansaço,1.0
languidez,enervação,1.0
languidez,enervamento,1.0
languidez,enfraquecimento,1.0
languidez,fraqueza,1.0
languidez,langor,1.0
languidez,lassidão,1.0
languidez,lassitude,1.0
languidez,energia,1.0
languidez,esforço,1.0
languidez,fôlego,1.0
languidez,vigor,1.0
languidez,entibiamento,1.0
languidez,frouxeza,1.0
languidez,frouxidão,1.0
languidez,frouxura,1.0
languidez,langor,1.0
languidez,lassidão,1.0
languidez,moleza,1.0
languidez,morbidez,1.0
languidez,morbideza,1.0
languidez,tibiez,1.0
languidez,firmeza,1.0
languidez,rijeza,1.0
