source,target,value
licenciosidade,lascívia,1.0
licenciosidade,libertinagem,1.0
licenciosidade,libidinagem,1.0
licenciosidade,libidinosidade,1.0
licenciosidade,pornéia,1.0
licenciosidade,pornografia,1.0
licenciosidade,deboche,1.0
licenciosidade,desregramento,1.0
licenciosidade,devassidão,1.0
licenciosidade,dissipação,1.0
licenciosidade,erro,1.0
licenciosidade,imoralidade,1.0
licenciosidade,perdição,1.0
licenciosidade,prevaricação,1.0
licenciosidade,salácia,1.0
licenciosidade,salacidade,1.0
licenciosidade,tripúdio,1.0
licenciosidade,vício,1.0
