source,target,value
linguajar,cacarejar,1.0
linguajar,caquerejar,1.0
linguajar,carcarejar,1.0
linguajar,charlar,1.0
linguajar,chilrar,1.0
linguajar,chilrear,1.0
linguajar,galrar,1.0
linguajar,garalhar,1.0
linguajar,garrir,1.0
linguajar,garrular,1.0
linguajar,gralhar,1.0
linguajar,gralhear,1.0
linguajar,grazinar,1.0
linguajar,grulhar,1.0
linguajar,linguarejar,1.0
linguajar,matraquear,1.0
linguajar,palavrear,1.0
linguajar,palrar,1.0
linguajar,palrear,1.0
linguajar,papagaiar,1.0
linguajar,papaguear,1.0
linguajar,papear,1.0
linguajar,parlar,1.0
linguajar,parolar,1.0
linguajar,parolear,1.0
linguajar,prosear,1.0
linguajar,tagarelar,1.0
linguajar,tarelar,1.0
linguajar,tartarear,1.0
linguajar,treler,1.0
linguajar,linguagem,1.0
