source,target,value
linguarejar,cacarejar,1.0
linguarejar,caquerejar,1.0
linguarejar,carcarejar,1.0
linguarejar,charlar,1.0
linguarejar,chilrar,1.0
linguarejar,chilrear,1.0
linguarejar,galrar,1.0
linguarejar,garalhar,1.0
linguarejar,garrir,1.0
linguarejar,garrular,1.0
linguarejar,gralhar,1.0
linguarejar,gralhear,1.0
linguarejar,grazinar,1.0
linguarejar,grulhar,1.0
linguarejar,linguajar,1.0
linguarejar,matraquear,1.0
linguarejar,palavrear,1.0
linguarejar,palrar,1.0
linguarejar,palrear,1.0
linguarejar,papagaiar,1.0
linguarejar,papaguear,1.0
linguarejar,papear,1.0
linguarejar,parlar,1.0
linguarejar,parolar,1.0
linguarejar,parolear,1.0
linguarejar,prosear,1.0
linguarejar,tagarelar,1.0
linguarejar,tarelar,1.0
linguarejar,tartarear,1.0
linguarejar,treler,1.0
