source,target,value
liqüidificar,delir,1.0
liqüidificar,derreter,1.0
liqüidificar,dissolver,1.0
liqüidificar,fundir,1.0
liqüidificar,liquefazer,1.0
liqüidificar,liquescer,1.0
liqüidificar,liquidificar,1.0
liqüidificar,solidar,1.0
liqüidificar,solidificar,1.0
liqüidificar,liquescer,1.0
liqüidificar,liquidificar,1.0
liqüidificar,agrumular,1.0
liqüidificar,coagular,1.0
liqüidificar,coalhar,1.0
liqüidificar,congelar,1.0
liqüidificar,encaramelar,1.0
liqüidificar,regelar,1.0
liqüidificar,solidar,1.0
liqüidificar,solidificar,1.0
liqüidificar,dissolver-se,1.0
liqüidificar,fundir-se,1.0
liqüidificar,liquefazer-se,1.0
liqüidificar,liquescer-se,1.0
liqüidificar,solidificar-se,1.0
