source,target,value
lisonjeira,encomiástico,1.0
lisonjeira,laudatício,1.0
lisonjeira,laudativo,1.0
lisonjeira,laudatório,1.0
lisonjeira,lisonjeiro,1.0
lisonjeira,panegirical,1.0
lisonjeira,panegírico,1.0
lisonjeira,predicatório,1.0
lisonjeira,adulador,1.0
lisonjeira,adulão,1.0
lisonjeira,bajulador,1.0
lisonjeira,caçambeiro,1.0
lisonjeira,candongueiro,1.0
lisonjeira,engrossativo,1.0
lisonjeira,gabador,1.0
lisonjeira,incensador,1.0
lisonjeira,lambeteiro,1.0
lisonjeira,lisonjeador,1.0
lisonjeira,lisonjeiro,1.0
lisonjeira,louvaminheiro,1.0
lisonjeira,louvaminho,1.0
lisonjeira,xereta,1.0
lisonjeira,adulador,1.0
lisonjeira,adulão,1.0
lisonjeira,baba-ovo,1.0
lisonjeira,bajulador,1.0
lisonjeira,cortesão,1.0
lisonjeira,encomiasta,1.0
lisonjeira,lambe-botas,1.0
lisonjeira,lisonjeador,1.0
lisonjeira,lisonjeiro,1.0
lisonjeira,louvaminheiro,1.0
lisonjeira,turibulário,1.0
lisonjeira,zumbaieiro,1.0
