source,target,value
longe,longínquo,1.0
longe,longíquo,1.0
longe,remoto,1.0
longe,alongado,1.0
longe,apartado,1.0
longe,arredado,1.0
longe,desconvizinho,1.0
longe,desviado,1.0
longe,distal,1.0
longe,distante,1.0
longe,extremo,1.0
longe,longínquo,1.0
longe,longíquo,1.0
longe,recuado,1.0
longe,remontado,1.0
longe,adjacente,1.0
longe,adjeto,1.0
longe,adjunto,1.0
longe,afim,1.0
longe,apegado,1.0
longe,chegado,1.0
longe,conjunto,1.0
longe,contíguo,1.0
longe,convizinho,1.0
longe,imediato,1.0
longe,junto,1.0
longe,pegado,1.0
longe,perto,1.0
longe,propínquo,1.0
longe,próximo,1.0
longe,vizinho,1.0
longe,próximo,1.0
