source,target,value
louvar,celebrar,1.0
louvar,decantar,1.0
louvar,exalçar,1.0
louvar,exaltar,1.0
louvar,soar,1.0
louvar,apoteosar,1.0
louvar,apoteotizar,1.0
louvar,bençoar,1.0
louvar,bendizer,1.0
louvar,glorificar,1.0
louvar,anatematizar,1.0
louvar,desconjurar,1.0
louvar,esconjurar,1.0
louvar,excomungar,1.0
louvar,execrar,1.0
louvar,imprecar,1.0
louvar,maldiçoar,1.0
louvar,apoiar,1.0
louvar,aprovar,1.0
louvar,elogiar,1.0
louvar,festejar,1.0
louvar,laurear,1.0
louvar,desaprovar,1.0
louvar,improbar,1.0
louvar,improvar,1.0
louvar,elogiar,1.0
louvar,enaltar,1.0
louvar,enaltecer,1.0
louvar,encarecer,1.0
louvar,encomiar,1.0
louvar,gabar,1.0
louvar,galonar,1.0
louvar,assetear,1.0
louvar,caluniar,1.0
louvar,demolir,1.0
louvar,denegrecer,1.0
louvar,denegrir,1.0
louvar,desacreditar,1.0
louvar,desafamar,1.0
louvar,desagaloar,1.0
louvar,desclassificar,1.0
louvar,descreditar,1.0
louvar,desdoirar,1.0
louvar,desdourar,1.0
louvar,deslustrar,1.0
louvar,desmerecer,1.0
louvar,desmoralizar,1.0
louvar,desonestar,1.0
louvar,desonrar,1.0
louvar,detrair,1.0
louvar,detratar,1.0
louvar,difamar,1.0
louvar,enegrecer,1.0
louvar,enxovalhar,1.0
louvar,ignominiar,1.0
louvar,infamar,1.0
louvar,injuriar,1.0
louvar,manchar,1.0
louvar,mazelar,1.0
louvar,obscurecer,1.0
louvar,rebaixar,1.0
louvar,setear,1.0
louvar,sugilar,1.0
louvar,vituperar,1.0
