source,target,value
luzir,desparzir,1.0
luzir,difundir,1.0
luzir,emanar,1.0
luzir,emitir,1.0
luzir,espalhar,1.0
luzir,espargir,1.0
luzir,esparzir,1.0
luzir,irradiar,1.0
luzir,lançar,1.0
luzir,radiar,1.0
luzir,raiar,1.0
luzir,ardejar,1.0
luzir,arder,1.0
luzir,brilhar,1.0
luzir,bruxulear,1.0
luzir,centelhar,1.0
luzir,cintilar,1.0
luzir,empiscar,1.0
luzir,esfuziar,1.0
luzir,esfuzilar,1.0
luzir,estrelar,1.0
luzir,fulgir,1.0
luzir,fulgurar,1.0
luzir,fuzilar,1.0
luzir,lampadejar,1.0
luzir,lucilar,1.0
luzir,pestanear,1.0
luzir,pestanejar,1.0
luzir,piscar,1.0
luzir,prefulgir,1.0
luzir,raiar,1.0
luzir,refulgir,1.0
luzir,relumar,1.0
luzir,relumbrar,1.0
luzir,relumear,1.0
luzir,tremer,1.0
luzir,tremular,1.0
luzir,vagalumear,1.0
