source,target,value
mandriona,madraço,1.0
mandriona,mandrião,1.0
mandriona,ocioso,1.0
mandriona,preguiceiro,1.0
mandriona,agencioso,1.0
mandriona,ativo,1.0
mandriona,atuoso,1.0
mandriona,cuidadeiro,1.0
mandriona,diligente,1.0
mandriona,disposto,1.0
mandriona,laborioso,1.0
mandriona,operoso,1.0
mandriona,trabalhador,1.0
mandriona,amarasmado,1.0
mandriona,amarasmeado,1.0
mandriona,bambalhão,1.0
mandriona,engrunhido,1.0
mandriona,ignavo,1.0
mandriona,indolente,1.0
mandriona,letárgico,1.0
mandriona,madraço,1.0
mandriona,malandro,1.0
mandriona,mandrião,1.0
mandriona,manzanza,1.0
mandriona,mazanza,1.0
mandriona,mazorro,1.0
mandriona,mole,1.0
mandriona,moleirão,1.0
mandriona,molenga,1.0
mandriona,molengão,1.0
mandriona,molengo,1.0
mandriona,napeiro,1.0
mandriona,ocioso,1.0
mandriona,pachola,1.0
mandriona,preguicento,1.0
mandriona,preguiçoso,1.0
mandriona,ronceiro,1.0
mandriona,sorna,1.0
mandriona,zopeiro,1.0
mandriona,zopo,1.0
mandriona,zorreiro,1.0
mandriona,mandrião,1.0
mandriona,preguiceiro,1.0
mandriona,preguiçoso,1.0
mandriona,zorreiro,1.0
