source,target,value
maravilhoso,assombroso,1.0
maravilhoso,bravo,1.0
maravilhoso,espantoso,1.0
maravilhoso,estranho,1.0
maravilhoso,estupendo,1.0
maravilhoso,extraordinário,1.0
maravilhoso,extravagante,1.0
maravilhoso,fenomenal,1.0
maravilhoso,milagroso,1.0
maravilhoso,miraculoso,1.0
maravilhoso,mirífico,1.0
maravilhoso,pasmoso,1.0
maravilhoso,portentoso,1.0
maravilhoso,prodigioso,1.0
maravilhoso,surpreendente,1.0
maravilhoso,tremendo,1.0
maravilhoso,façanhoso,1.0
maravilhoso,deslumbroso,1.0
maravilhoso,esplêndido,1.0
maravilhoso,feérico,1.0
maravilhoso,mágico,1.0
maravilhoso,sobrenatural,1.0
