source,target,value
marejar,brotar,1.0
marejar,defluir,1.0
marejar,derivar,1.0
marejar,dimanar,1.0
marejar,escorrer,1.0
marejar,espipar,1.0
marejar,fluir,1.0
marejar,jorrar,1.0
marejar,manar,1.0
marejar,minar,1.0
marejar,rebentar,1.0
marejar,sair,1.0
marejar,surdir,1.0
marejar,verter,1.0
marejar,vir,1.0
marejar,bolhar,1.0
marejar,borbotar,1.0
marejar,borbulhar,1.0
marejar,estuar,1.0
marejar,ferver,1.0
marejar,gotejar,1.0
marejar,porejar,1.0
marejar,ressudar,1.0
marejar,ressumar,1.0
marejar,ressumbrar,1.0
marejar,rever,1.0
marejar,revir,1.0
marejar,suar,1.0
marejar,transudar,1.0
