source,target,value
martelar,malhar,1.0
martelar,martelejar,1.0
martelar,aborrecer,1.0
martelar,amuar,1.0
martelar,aperrear,1.0
martelar,apoquentar,1.0
martelar,arreliar,1.0
martelar,atormentar,1.0
martelar,azangar,1.0
martelar,azucrinar,1.0
martelar,causticar,1.0
martelar,despeitar,1.0
martelar,encabular,1.0
martelar,encalistrar,1.0
martelar,encalmar,1.0
martelar,encher,1.0
martelar,enquizilar,1.0
martelar,enxofrar,1.0
martelar,esquentar,1.0
martelar,frigir,1.0
martelar,importunar,1.0
martelar,incomodar,1.0
martelar,infernar,1.0
martelar,infernizar,1.0
martelar,irritar,1.0
martelar,judiar,1.0
martelar,perseguir,1.0
martelar,quizilar,1.0
martelar,tempestear,1.0
martelar,tempestuar,1.0
martelar,torrar,1.0
martelar,zangar,1.0
martelar,aferrenhar-se,1.0
martelar,afincar-se,1.0
martelar,amarrar-se,1.0
martelar,amuar,1.0
martelar,aperrar,1.0
martelar,aporfiar,1.0
martelar,carregar,1.0
martelar,caturrar,1.0
martelar,embestar,1.0
martelar,empeiticar,1.0
martelar,emperrar,1.0
martelar,encafifar,1.0
martelar,encasquetar-se,1.0
martelar,enfincar-se,1.0
martelar,engar,1.0
martelar,entesar,1.0
martelar,fincar-se,1.0
martelar,insistir,1.0
martelar,marralhar,1.0
martelar,obstinar-se,1.0
martelar,porfiar,1.0
martelar,recalcitrar,1.0
martelar,renitir,1.0
martelar,teimar,1.0
martelar,tesar,1.0
martelar,tungar,1.0
martelar,desencasquetar,1.0
