source,target,value
maçarocar,desengrenhar,1.0
maçarocar,desgadelhar,1.0
maçarocar,desgrenhar,1.0
maçarocar,desguedelhar,1.0
maçarocar,emaranhar,1.0
maçarocar,embaraçar,1.0
maçarocar,empaçocar,1.0
maçarocar,enlear,1.0
maçarocar,enredar,1.0
maçarocar,enredear,1.0
maçarocar,enriçar,1.0
maçarocar,imbramar,1.0
maçarocar,desembaraçar,1.0
maçarocar,desembolar,1.0
maçarocar,desenlear,1.0
maçarocar,desenliçar,1.0
maçarocar,desenredar,1.0
maçarocar,desenriçar,1.0
maçarocar,desriçar,1.0
maçarocar,destrinçar,1.0
maçarocar,destrinchar,1.0
maçarocar,estriçar,1.0
