source,target,value
meditado,atentar,1.0
meditado,cogitar,1.0
meditado,conceber,1.0
meditado,considerar,1.0
meditado,contemplar,1.0
meditado,cuidar,1.0
meditado,devanear,1.0
meditado,discorrer,1.0
meditado,discursar,1.0
meditado,especular,1.0
meditado,excogitar,1.0
meditado,imaginar,1.0
meditado,mastigar,1.0
meditado,matutar,1.0
meditado,meditar,1.0
meditado,pensar,1.0
meditado,ponderar,1.0
meditado,raciocinar,1.0
meditado,razoar,1.0
meditado,refletir,1.0
meditado,reflexionar,1.0
meditado,trabalhar,1.0
meditado,desejar,1.0
meditado,intencionar,1.0
meditado,intentar,1.0
meditado,maquinar,1.0
meditado,matutar,1.0
meditado,meditar,1.0
meditado,pretender,1.0
meditado,projetar,1.0
meditado,querer,1.0
meditado,tencionar,1.0
