source,target,value
mimar,acalentar,1.0
mimar,aninar,1.0
mimar,berçar,1.0
mimar,embalar,1.0
mimar,encolar,1.0
mimar,ninar,1.0
mimar,rolar,1.0
mimar,acariciar,1.0
mimar,acarinhar,1.0
mimar,acocar,1.0
mimar,afagar,1.0
mimar,agradar,1.0
mimar,ameigar,1.0
mimar,apaparicar,1.0
mimar,bafejar,1.0
mimar,cariciar,1.0
mimar,cofiar,1.0
mimar,embalar,1.0
mimar,mimosear,1.0
mimar,acariciar,1.0
mimar,acarinhar,1.0
mimar,acocar,1.0
mimar,afagar,1.0
mimar,agradar,1.0
mimar,ameigar,1.0
mimar,apaparicar,1.0
mimar,bafejar,1.0
mimar,cariciar,1.0
mimar,cofiar,1.0
mimar,embalar,1.0
mimar,mimosear,1.0
mimar,paparicar,1.0
mimar,mimicar,1.0
