source,target,value
mistificar,idealizar,1.0
mistificar,imaginar,1.0
mistificar,romancear,1.0
mistificar,romantizar,1.0
mistificar,sonhar,1.0
mistificar,barrar,1.0
mistificar,bigodear,1.0
mistificar,burlar,1.0
mistificar,capear,1.0
mistificar,carambolar,1.0
mistificar,caronear,1.0
mistificar,cegar,1.0
mistificar,codilhar,1.0
mistificar,defraudar,1.0
mistificar,deludir,1.0
mistificar,despistar,1.0
mistificar,desvairar,1.0
mistificar,desvariar,1.0
mistificar,embaçar,1.0
mistificar,embaciar,1.0
mistificar,embaucar,1.0
mistificar,embromar,1.0
mistificar,embrulhar,1.0
mistificar,embuçalar,1.0
mistificar,emburricar,1.0
mistificar,embustear,1.0
mistificar,ençampar,1.0
mistificar,engabelar,1.0
mistificar,engambelar,1.0
mistificar,enganar,1.0
mistificar,engrambelar,1.0
mistificar,enrascar,1.0
mistificar,enrodilhar,1.0
mistificar,enrolar,1.0
mistificar,fraudar,1.0
mistificar,gambelar,1.0
mistificar,iludir,1.0
mistificar,impingir,1.0
mistificar,intrujar,1.0
mistificar,intrujir,1.0
mistificar,lograr,1.0
mistificar,ludibriar,1.0
mistificar,mamar,1.0
mistificar,pantomimar,1.0
mistificar,pantominar,1.0
mistificar,rodilhar,1.0
mistificar,tapear,1.0
mistificar,trautear,1.0
mistificar,tungar,1.0
mistificar,velhacar,1.0
mistificar,velhaquear,1.0
