source,target,value
modéstia,recolhimento,1.0
modéstia,insolência,1.0
modéstia,petulância,1.0
modéstia,aperto,1.0
modéstia,humildade,1.0
modéstia,despretensão,1.0
modéstia,desvaidade,1.0
modéstia,convencimento,1.0
modéstia,embófia,1.0
modéstia,empáfia,1.0
modéstia,fatuidade,1.0
modéstia,presunção,1.0
modéstia,vacuidade,1.0
modéstia,vaidade,1.0
modéstia,despretensão,1.0
modéstia,humildade,1.0
modéstia,naturalidade,1.0
modéstia,simplicidade,1.0
modéstia,singelez,1.0
modéstia,arrogância,1.0
modéstia,ênfase,1.0
modéstia,esnobismo,1.0
modéstia,imponência,1.0
modéstia,presunção,1.0
modéstia,soberba,1.0
