source,target,value
motejar,apodar,1.0
motejar,bexigar,1.0
motejar,bigodear,1.0
motejar,brincar,1.0
motejar,cachetar,1.0
motejar,caçoar,1.0
motejar,cafangar,1.0
motejar,chacotear,1.0
motejar,chalaçar,1.0
motejar,chalacear,1.0
motejar,chasquear,1.0
motejar,chocarrear,1.0
motejar,debicar,1.0
motejar,debochar,1.0
motejar,derriçar,1.0
motejar,desfruir,1.0
motejar,desfrutar,1.0
motejar,embromar,1.0
motejar,escarnecer,1.0
motejar,escarnir,1.0
motejar,facetear,1.0
motejar,galhofar,1.0
motejar,galhofear,1.0
motejar,gingar,1.0
motejar,gozar,1.0
motejar,gracejar,1.0
motejar,ironizar,1.0
motejar,malhar,1.0
motejar,mangar,1.0
motejar,mexer,1.0
motejar,mofar,1.0
motejar,pagodear,1.0
motejar,palhetar,1.0
motejar,palhetear,1.0
motejar,pantear,1.0
motejar,pilheriar,1.0
motejar,ridicularizar,1.0
motejar,ridiculizar,1.0
motejar,rir,1.0
motejar,satirizar,1.0
motejar,sorrir,1.0
motejar,sotaquear,1.0
motejar,toirear,1.0
motejar,tourear,1.0
motejar,troçar,1.0
motejar,trotar,1.0
motejar,trotear,1.0
motejar,vasconcear,1.0
motejar,zingrar,1.0
motejar,zombar,1.0
motejar,zombetear,1.0
