source,target,value
obstúpido,admirado,1.0
obstúpido,aparvalhado,1.0
obstúpido,assarapantado,1.0
obstúpido,assombrado,1.0
obstúpido,atônito,1.0
obstúpido,aturdido,1.0
obstúpido,azabumbado,1.0
obstúpido,banzado,1.0
obstúpido,bestificado,1.0
obstúpido,boquiaberto,1.0
obstúpido,contérrito,1.0
obstúpido,desqueixelado,1.0
obstúpido,embasbacado,1.0
obstúpido,espantado,1.0
obstúpido,estupefato,1.0
obstúpido,estupefeito,1.0
obstúpido,extasiado,1.0
obstúpido,obstupefato,1.0
obstúpido,pasmado,1.0
obstúpido,pasmo,1.0
obstúpido,perplexo,1.0
obstúpido,surpreendido,1.0
obstúpido,surpreso,1.0
obstúpido,tolo,1.0
