source,target,value
olente,ambreado,1.0
olente,aromado,1.0
olente,aromal,1.0
olente,aromático,1.0
olente,aromatizado,1.0
olente,aromoso,1.0
olente,balsâmico,1.0
olente,cheirante,1.0
olente,cheiroso,1.0
olente,embalsamado,1.0
olente,fragrante,1.0
olente,moscado,1.0
olente,odorante,1.0
olente,odorífero,1.0
olente,odorífico,1.0
olente,odoro,1.0
olente,odoroso,1.0
olente,olorado,1.0
olente,olorante,1.0
olente,oloroso,1.0
olente,perfumado,1.0
olente,catingante,1.0
olente,catingoso,1.0
olente,catingudo,1.0
olente,catinguento,1.0
olente,caxinguento,1.0
olente,enfedorentado,1.0
olente,fedegoso,1.0
olente,fedido,1.0
olente,fedorento,1.0
olente,fétido,1.0
olente,malcheiroso,1.0
