source,target,value
opugnar,avessar,1.0
opugnar,colidir,1.0
opugnar,combater,1.0
opugnar,confutar,1.0
opugnar,contestar,1.0
opugnar,contraditar,1.0
opugnar,contradizer,1.0
opugnar,contrariar,1.0
opugnar,desencontrar,1.0
opugnar,desfavorecer,1.0
opugnar,entrechocar-se,1.0
opugnar,impugnar,1.0
opugnar,defender,1.0
opugnar,acometer,1.0
opugnar,aferrar,1.0
opugnar,agredir,1.0
opugnar,arremeter,1.0
opugnar,assaltar,1.0
opugnar,assaltear,1.0
opugnar,atacar,1.0
opugnar,atirar-se,1.0
opugnar,avançar,1.0
opugnar,carregar,1.0
opugnar,crescer,1.0
opugnar,investir,1.0
opugnar,ir,1.0
opugnar,partir,1.0
opugnar,remeter,1.0
opugnar,saltear,1.0
opugnar,voltar-se,1.0
