source,target,value
orgulhar,apavonar,1.0
orgulhar,assoberbar,1.0
orgulhar,desvaecer,1.0
orgulhar,desvanear,1.0
orgulhar,desvanecer,1.0
orgulhar,enfatuar,1.0
orgulhar,enfunar,1.0
orgulhar,ensoberbar,1.0
orgulhar,ensoberbecer,1.0
orgulhar,entufar,1.0
orgulhar,envaidar,1.0
orgulhar,envaidecer,1.0
orgulhar,envanecer,1.0
orgulhar,esvaecer,1.0
orgulhar,esvanecer,1.0
orgulhar,fofar,1.0
orgulhar,inchar,1.0
orgulhar,inflar,1.0
orgulhar,lisonjear,1.0
orgulhar,pavonear,1.0
orgulhar,ufanar,1.0
orgulhar,aviltar,1.0
orgulhar,degradar,1.0
orgulhar,deprimir,1.0
orgulhar,desbriar,1.0
orgulhar,desensoberbecer,1.0
orgulhar,desonestar,1.0
orgulhar,desonrar,1.0
orgulhar,envilecer,1.0
orgulhar,funestar,1.0
orgulhar,humlhar,1.0
orgulhar,pejorar,1.0
orgulhar,profanar,1.0
orgulhar,prostituir,1.0
orgulhar,rebaixar,1.0
orgulhar,vilificar,1.0
