source,target,value
orlar,acairelar,1.0
orlar,bainhar,1.0
orlar,beirar,1.0
orlar,bordar,1.0
orlar,brolar,1.0
orlar,broslar,1.0
orlar,cairelar,1.0
orlar,debruar,1.0
orlar,embainhar,1.0
orlar,fimbriar,1.0
orlar,franjar,1.0
orlar,desembainhar,1.0
orlar,abraçar,1.0
orlar,arrodear,1.0
orlar,assediar,1.0
orlar,aureolar,1.0
orlar,cercar,1.0
orlar,cingir,1.0
orlar,circuitar,1.0
orlar,circular,1.0
orlar,circundar,1.0
orlar,coroar,1.0
orlar,encintar,1.0
orlar,enlaçar,1.0
orlar,enrolar,1.0
orlar,envolver,1.0
orlar,precintar,1.0
orlar,rodear,1.0
orlar,tornear,1.0
orlar,descercar,1.0
