source,target,value
palmear,afanar,1.0
palmear,agadanhar,1.0
palmear,arrancar,1.0
palmear,arrapinar,1.0
palmear,arrebatar,1.0
palmear,bater,1.0
palmear,bifar,1.0
palmear,bispar,1.0
palmear,comer,1.0
palmear,defraudar,1.0
palmear,despojar,1.0
palmear,desvalijar,1.0
palmear,empalmar,1.0
palmear,escamotar,1.0
palmear,escamotear,1.0
palmear,escorchar,1.0
palmear,esponjar,1.0
palmear,furtar,1.0
palmear,gatear,1.0
palmear,gatunar,1.0
palmear,gatunhar,1.0
palmear,ladroar,1.0
palmear,larapiar,1.0
palmear,limpar,1.0
palmear,palmar,1.0
palmear,pelar,1.0
palmear,rapar,1.0
palmear,rapinar,1.0
palmear,rapinhar,1.0
palmear,roubar,1.0
palmear,safar,1.0
palmear,saltear,1.0
palmear,saquear,1.0
palmear,sobnegar,1.0
palmear,sonegar,1.0
palmear,subtrair,1.0
palmear,surripiar,1.0
palmear,surrupiar,1.0
palmear,tirar,1.0
palmear,tomar,1.0
palmear,unhar,1.0
palmear,correr,1.0
palmear,galgar,1.0
palmear,palmilhar,1.0
palmear,percorrer,1.0
palmear,perfazer,1.0
palmear,trilhar,1.0
palmear,vencer,1.0
