source,target,value
palradeiro,charlariento,1.0
palradeiro,chilreador,1.0
palradeiro,chilreante,1.0
palradeiro,chilreiro,1.0
palradeiro,discursivo,1.0
palradeiro,dizedor,1.0
palradeiro,esparolado,1.0
palradeiro,falacioso,1.0
palradeiro,falador,1.0
palradeiro,garrulante,1.0
palradeiro,gárrulo,1.0
palradeiro,golelheiro,1.0
palradeiro,gralhador,1.0
palradeiro,loquaz,1.0
palradeiro,palavreador,1.0
palradeiro,palavreiro,1.0
palradeiro,palrador,1.0
palradeiro,palreiro,1.0
palradeiro,quieto,1.0
palradeiro,silencioso,1.0
