source,target,value
palrear,arenguear,1.0
palrear,chalrar,1.0
palrear,chalrear,1.0
palrear,palrar,1.0
palrear,dizer,1.0
palrear,falar,1.0
palrear,ferir,1.0
palrear,palrar,1.0
palrear,proferir,1.0
palrear,pronunciar,1.0
palrear,conversar,1.0
palrear,falar,1.0
palrear,palavrear,1.0
palrear,palestrar,1.0
palrear,palestrear,1.0
palrear,palrar,1.0
palrear,tratar,1.0
palrear,delatar,1.0
palrear,descerrar,1.0
palrear,descobrir,1.0
palrear,descortinar,1.0
palrear,desembuçar,1.0
palrear,desencerrar,1.0
palrear,desencobrir,1.0
palrear,desenterrar,1.0
palrear,dessoterrar,1.0
palrear,desvelar,1.0
palrear,desvendar,1.0
palrear,evidenciar,1.0
palrear,expirar,1.0
palrear,expor,1.0
palrear,franquear,1.0
palrear,mostrar,1.0
palrear,palrar,1.0
palrear,passar,1.0
palrear,patentear,1.0
palrear,patentizar,1.0
palrear,respirar,1.0
palrear,acafelar,1.0
palrear,acobertar,1.0
palrear,amofumbar,1.0
palrear,contrafazer,1.0
palrear,disfarçar,1.0
palrear,dissimular,1.0
palrear,emascarar,1.0
palrear,embuçar,1.0
palrear,empanar,1.0
palrear,encobertar,1.0
palrear,encobrir,1.0
palrear,mascarar,1.0
palrear,ocultar,1.0
palrear,paliar,1.0
palrear,rebuçar,1.0
palrear,reprimir,1.0
palrear,sufocar,1.0
palrear,velar,1.0
