source,target,value
paramentar,adornar,1.0
paramentar,aformosar,1.0
paramentar,aformosear,1.0
paramentar,aformosentar,1.0
paramentar,ajaezar,1.0
paramentar,alfaiar,1.0
paramentar,amoldurar,1.0
paramentar,aparatar,1.0
paramentar,aparelhar,1.0
paramentar,arrear,1.0
paramentar,assazoar,1.0
paramentar,assazonar,1.0
paramentar,ataviar,1.0
paramentar,colorar,1.0
paramentar,colorear,1.0
paramentar,colorir,1.0
paramentar,colorizar,1.0
paramentar,decorar,1.0
paramentar,embelezar,1.0
paramentar,embrincar,1.0
paramentar,emoldar,1.0
paramentar,emoldurar,1.0
paramentar,enfeitar,1.0
paramentar,enflorar,1.0
paramentar,enflorear,1.0
paramentar,engalanar,1.0
paramentar,exornar,1.0
paramentar,florear,1.0
paramentar,floretear,1.0
paramentar,formosear,1.0
paramentar,formosentar,1.0
paramentar,galantear,1.0
paramentar,honestar,1.0
paramentar,jaezar,1.0
paramentar,moldurar,1.0
paramentar,ornamentar,1.0
paramentar,ornar,1.0
paramentar,recamar,1.0
paramentar,revestir,1.0
paramentar,sazonar,1.0
paramentar,sobredoirar,1.0
paramentar,sobredourar,1.0
paramentar,tecer,1.0
paramentar,afeiar,1.0
paramentar,desadornar,1.0
paramentar,desafeitar,1.0
paramentar,desalinhar,1.0
paramentar,desaparelhar,1.0
paramentar,desataviar,1.0
paramentar,descompor,1.0
paramentar,desenfeitar,1.0
paramentar,desfear,1.0
paramentar,desguarnecer,1.0
paramentar,desornar,1.0
paramentar,destoucar,1.0
paramentar,enfear,1.0
