source,target,value
pasmo,admirado,1.0
pasmo,aparvalhado,1.0
pasmo,assarapantado,1.0
pasmo,assombrado,1.0
pasmo,atônito,1.0
pasmo,aturdido,1.0
pasmo,azabumbado,1.0
pasmo,banzado,1.0
pasmo,bestificado,1.0
pasmo,boquiaberto,1.0
pasmo,contérrito,1.0
pasmo,desqueixelado,1.0
pasmo,embasbacado,1.0
pasmo,espantado,1.0
pasmo,estupefato,1.0
pasmo,estupefeito,1.0
pasmo,extasiado,1.0
pasmo,obstupefato,1.0
pasmo,obstúpido,1.0
pasmo,pasmado,1.0
pasmo,perplexo,1.0
pasmo,surpreendido,1.0
pasmo,surpreso,1.0
pasmo,tolo,1.0
pasmo,êxtase,1.0
pasmo,admiração,1.0
pasmo,assombro,1.0
pasmo,espanto,1.0
pasmo,estupefação,1.0
pasmo,maravilhamento,1.0
pasmo,desmaio,1.0
