source,target,value
patife,arrebitado,1.0
patife,atrevido,1.0
patife,cínico,1.0
patife,confiado,1.0
patife,desabusado,1.0
patife,desaforado,1.0
patife,desavergonhado,1.0
patife,desbriado,1.0
patife,descarado,1.0
patife,descocado,1.0
patife,desenvergonhado,1.0
patife,desfaçado,1.0
patife,desfaçatoso,1.0
patife,deslavado,1.0
patife,despejado,1.0
patife,despudorado,1.0
patife,desvergonhado,1.0
patife,impudente,1.0
patife,impudico,1.0
patife,insolente,1.0
patife,petulante,1.0
patife,procaz,1.0
patife,protervo,1.0
patife,safado,1.0
patife,sem-vergonha,1.0
patife,mariola,1.0
patife,maroto,1.0
patife,ribaldo,1.0
patife,tratante,1.0
patife,velhaco,1.0
patife,marau,1.0
patife,mariola,1.0
patife,maroto,1.0
patife,ribaldo,1.0
patife,traste,1.0
patife,tratante,1.0
patife,velhaco,1.0
patife,vergalho,1.0
