source,target,value
pejorar,aviltar,1.0
pejorar,degradar,1.0
pejorar,deprimir,1.0
pejorar,desbriar,1.0
pejorar,desensoberbecer,1.0
pejorar,desonestar,1.0
pejorar,desonrar,1.0
pejorar,envilecer,1.0
pejorar,funestar,1.0
pejorar,humlhar,1.0
pejorar,profanar,1.0
pejorar,prostituir,1.0
pejorar,rebaixar,1.0
pejorar,apavonar,1.0
pejorar,assoberbar,1.0
pejorar,desvaecer,1.0
pejorar,desvanear,1.0
pejorar,desvanecer,1.0
pejorar,enfatuar,1.0
pejorar,enfunar,1.0
pejorar,ensoberbar,1.0
pejorar,ensoberbecer,1.0
pejorar,entufar,1.0
pejorar,envaidar,1.0
pejorar,envaidecer,1.0
pejorar,envanecer,1.0
pejorar,esvaecer,1.0
pejorar,esvanecer,1.0
pejorar,fofar,1.0
pejorar,inchar,1.0
pejorar,inflar,1.0
pejorar,lisonjear,1.0
pejorar,orgulhar,1.0
pejorar,pavonear,1.0
pejorar,ufanar,1.0
pejorar,vangloriar,1.0
