source,target,value
perambular,andarilhar,1.0
perambular,arruar,1.0
perambular,bangular,1.0
perambular,bestar,1.0
perambular,bestear,1.0
perambular,ciganear,1.0
perambular,corricar,1.0
perambular,deambular,1.0
perambular,desvairar,1.0
perambular,desvariar,1.0
perambular,divagar,1.0
perambular,doidejar,1.0
perambular,doudejar,1.0
perambular,errar,1.0
perambular,flanar,1.0
perambular,girar,1.0
perambular,pervagar,1.0
perambular,vagabundar,1.0
perambular,vagabundear,1.0
perambular,vagamundear,1.0
perambular,vagar,1.0
perambular,vaguear,1.0
perambular,vaguejar,1.0
perambular,zanzar,1.0
perambular,zaranzar,1.0
