source,target,value
persistente,fiel,1.0
persistente,firme,1.0
persistente,perseverante,1.0
persistente,inconstante,1.0
persistente,acérrimo,1.0
persistente,acirrado,1.0
persistente,aferrado,1.0
persistente,afincado,1.0
persistente,amarroado,1.0
persistente,cabeçudo,1.0
persistente,capitoso,1.0
persistente,casmurro,1.0
persistente,contumaz,1.0
persistente,ferrado,1.0
persistente,ferrenho,1.0
persistente,insistente,1.0
persistente,marroaz,1.0
persistente,obstinado,1.0
persistente,opiniático,1.0
persistente,opinioso,1.0
persistente,perro,1.0
persistente,pertinaz,1.0
persistente,porfiado,1.0
persistente,porfiador,1.0
persistente,porfiante,1.0
persistente,porfioso,1.0
persistente,recalcitrante,1.0
persistente,renitente,1.0
persistente,resistente,1.0
persistente,revel,1.0
persistente,teimoso,1.0
persistente,tenaz,1.0
persistente,testudo,1.0
persistente,tungador,1.0
