source,target,value
polidez,civilidade,1.0
polidez,cortesia,1.0
polidez,educação,1.0
polidez,política,1.0
polidez,trato,1.0
polidez,agrestice,1.0
polidez,agrestidade,1.0
polidez,bagualada,1.0
polidez,boçalidade,1.0
polidez,bronquice,1.0
polidez,brutalidade,1.0
polidez,chavasquice,1.0
polidez,estupidez,1.0
polidez,grossaria,1.0
polidez,grosseria,1.0
polidez,grossura,1.0
polidez,incivilidade,1.0
polidez,rudez,1.0
polidez,rudeza,1.0
polidez,rusticaria,1.0
polidez,rusticidade,1.0
polidez,rustiqueza,1.0
