source,target,value
popularizar,assoalhar,1.0
popularizar,dar,1.0
popularizar,derramar,1.0
popularizar,dessegredar,1.0
popularizar,difundir,1.0
popularizar,dilatar,1.0
popularizar,disseminar,1.0
popularizar,divulgar,1.0
popularizar,espalhar,1.0
popularizar,expandir,1.0
popularizar,generalizar,1.0
popularizar,irradiar,1.0
popularizar,noticiar,1.0
popularizar,passear,1.0
popularizar,preconizar,1.0
popularizar,pregoar,1.0
popularizar,proclamar,1.0
popularizar,professar,1.0
popularizar,promulgar,1.0
popularizar,propagar,1.0
popularizar,propalar,1.0
popularizar,publicar,1.0
popularizar,soalhar,1.0
popularizar,solhar,1.0
popularizar,soprar,1.0
popularizar,universalizar,1.0
popularizar,veicular,1.0
popularizar,vulgar,1.0
popularizar,vulgarizar,1.0
popularizar,segredar,1.0
