source,target,value
potencializar,envigorar,1.0
potencializar,esforçar,1.0
potencializar,reforçar,1.0
potencializar,revigorar,1.0
potencializar,alquebrar,1.0
potencializar,aquebrantar,1.0
potencializar,cansar,1.0
potencializar,debilitar,1.0
potencializar,depauperar,1.0
potencializar,deprimir,1.0
potencializar,derrear,1.0
potencializar,derrotar,1.0
potencializar,dessangrar,1.0
potencializar,desvigorar,1.0
potencializar,desvigorizar,1.0
potencializar,emascular,1.0
potencializar,enfraquecer,1.0
potencializar,enfraquentar,1.0
potencializar,exaurir,1.0
potencializar,exaustar,1.0
potencializar,extenuar,1.0
potencializar,prostrar,1.0
potencializar,quebrantar,1.0
potencializar,sangrar,1.0
