source,target,value
preanunciar,agoirar,1.0
preanunciar,agourar,1.0
preanunciar,antecipar,1.0
preanunciar,antedizer,1.0
preanunciar,ante-sentir,1.0
preanunciar,anunciar,1.0
preanunciar,augurar,1.0
preanunciar,auspiciar,1.0
preanunciar,bacorejar,1.0
preanunciar,fadar,1.0
preanunciar,farejar,1.0
preanunciar,futurar,1.0
preanunciar,ominar,1.0
preanunciar,predizer,1.0
preanunciar,prenunciar,1.0
preanunciar,pressagiar,1.0
preanunciar,pressentir,1.0
preanunciar,prever,1.0
preanunciar,profetar,1.0
preanunciar,profetizar,1.0
preanunciar,prognosticar,1.0
preanunciar,saber,1.0
preanunciar,vaticinar,1.0
