source,target,value
precipitar,desgalgar,1.0
precipitar,despenhar,1.0
precipitar,engolfar,1.0
precipitar,adiantar,1.0
precipitar,apressar,1.0
precipitar,estugar,1.0
precipitar,picar,1.0
precipitar,delongar,1.0
precipitar,demorar,1.0
precipitar,entravar,1.0
precipitar,lerdear,1.0
precipitar,pausar,1.0
precipitar,remorar,1.0
precipitar,retardar,1.0
precipitar,retrasar,1.0
precipitar,tardar,1.0
precipitar,adiantar,1.0
precipitar,antecipar,1.0
precipitar,apressar,1.0
precipitar,deixar,1.0
precipitar,pospor,1.0
precipitar,procrastinar,1.0
precipitar,rolar,1.0
precipitar,suspender,1.0
precipitar,adiantar,1.0
precipitar,apressar,1.0
precipitar,estugar,1.0
precipitar,picar,1.0
precipitar,delongar,1.0
precipitar,demorar,1.0
precipitar,entravar,1.0
precipitar,lerdear,1.0
precipitar,pausar,1.0
precipitar,remorar,1.0
precipitar,retardar,1.0
precipitar,retrasar,1.0
precipitar,tardar,1.0
