source,target,value
prefulgir,ardejar,1.0
prefulgir,arder,1.0
prefulgir,brilhar,1.0
prefulgir,bruxulear,1.0
prefulgir,centelhar,1.0
prefulgir,cintilar,1.0
prefulgir,empiscar,1.0
prefulgir,entreluzir,1.0
prefulgir,esfuziar,1.0
prefulgir,esfuzilar,1.0
prefulgir,estrelar,1.0
prefulgir,fulgir,1.0
prefulgir,fulgurar,1.0
prefulgir,fuzilar,1.0
prefulgir,lampadejar,1.0
prefulgir,lucilar,1.0
prefulgir,luciluzir,1.0
prefulgir,luziluzir,1.0
prefulgir,luzir,1.0
prefulgir,pestanear,1.0
prefulgir,pestanejar,1.0
prefulgir,piscar,1.0
prefulgir,preluzir,1.0
prefulgir,raiar,1.0
prefulgir,refulgir,1.0
prefulgir,relumar,1.0
prefulgir,relumbrar,1.0
prefulgir,relumear,1.0
prefulgir,reluzir,1.0
prefulgir,tremeluzir,1.0
prefulgir,tremer,1.0
prefulgir,tremular,1.0
prefulgir,vagalumear,1.0
