source,target,value
procaz,arrebitado,1.0
procaz,atrevido,1.0
procaz,cínico,1.0
procaz,confiado,1.0
procaz,desabusado,1.0
procaz,desaforado,1.0
procaz,desavergonhado,1.0
procaz,desbriado,1.0
procaz,descarado,1.0
procaz,descocado,1.0
procaz,desenvergonhado,1.0
procaz,desfaçado,1.0
procaz,desfaçatoso,1.0
procaz,deslavado,1.0
procaz,despejado,1.0
procaz,despudorado,1.0
procaz,desvergonhado,1.0
procaz,impudente,1.0
procaz,impudico,1.0
procaz,insolente,1.0
procaz,patife,1.0
procaz,petulante,1.0
procaz,protervo,1.0
procaz,safado,1.0
procaz,sem-vergonha,1.0
