source,target,value
profusão,exuberância,1.0
profusão,prodigalidade,1.0
profusão,sobreabundância,1.0
profusão,superabundância,1.0
profusão,abastança,1.0
profusão,abundância,1.0
profusão,cópia,1.0
profusão,fartura,1.0
profusão,opulência,1.0
profusão,provimento,1.0
profusão,provisão,1.0
profusão,riqueza,1.0
profusão,escassez,1.0
profusão,falta,1.0
profusão,míngua,1.0
profusão,raleira,1.0
profusão,raleiro,1.0
profusão,desbaratamento,1.0
profusão,desbarate,1.0
profusão,desbarato,1.0
profusão,desperdício,1.0
profusão,destroço,1.0
profusão,dilapidação,1.0
profusão,dissipação,1.0
profusão,esbanjamento,1.0
profusão,estrago,1.0
profusão,prodigalidade,1.0
profusão,prodigalização,1.0
profusão,aforro,1.0
profusão,economia,1.0
profusão,parcimônia,1.0
