source,target,value
prolixo,difuso,1.0
prolixo,profuso,1.0
prolixo,extenso,1.0
prolixo,longo,1.0
prolixo,breve,1.0
prolixo,breviloqüente,1.0
prolixo,compendioso,1.0
prolixo,conciso,1.0
prolixo,condensado,1.0
prolixo,curto,1.0
prolixo,encondensado,1.0
prolixo,encurtado,1.0
prolixo,lacônico,1.0
prolixo,lapidar,1.0
prolixo,preciso,1.0
prolixo,resumido,1.0
prolixo,sinóptico,1.0
prolixo,sinótico,1.0
prolixo,sintético,1.0
prolixo,sintetizado,1.0
prolixo,substanciado,1.0
prolixo,sucinto,1.0
prolixo,sumário,1.0
