source,target,value
prumo,cautela,1.0
prumo,cuidado,1.0
prumo,provimento,1.0
prumo,prudência,1.0
prumo,tento,1.0
prumo,tino,1.0
prumo,charme,1.0
prumo,elegância,1.0
prumo,encanto,1.0
prumo,formosura,1.0
prumo,glamour,1.0
prumo,graça,1.0
prumo,acuidade,1.0
prumo,agudez,1.0
prumo,agudeza,1.0
prumo,argúcia,1.0
prumo,eumatia,1.0
prumo,fineza,1.0
prumo,finura,1.0
prumo,penetração,1.0
prumo,perspicácia,1.0
prumo,perspicacidade,1.0
prumo,refinamento,1.0
prumo,sagacidade,1.0
prumo,subtileza,1.0
prumo,subtilidade,1.0
prumo,sutileza,1.0
prumo,sutilidade,1.0
prumo,transcendência,1.0
