source,target,value
quietar,desalarmar,1.0
quietar,alborotar,1.0
quietar,alertar,1.0
quietar,alvoroçar,1.0
quietar,alvorotar,1.0
quietar,ariscar,1.0
quietar,assustar,1.0
quietar,espantar,1.0
quietar,espaventar,1.0
quietar,sobressaltar,1.0
quietar,achanar,1.0
quietar,acomodar,1.0
quietar,apacificar,1.0
quietar,apaziguar,1.0
quietar,aquedar,1.0
quietar,asserenar,1.0
quietar,contemporizar,1.0
quietar,desanuviar,1.0
quietar,descansar,1.0
quietar,desencrespar,1.0
quietar,pacificar,1.0
quietar,paziguar,1.0
quietar,repoisar,1.0
quietar,repousar,1.0
quietar,sedar,1.0
quietar,serenar,1.0
quietar,sossegar,1.0
quietar,agitar,1.0
quietar,alborotar,1.0
quietar,alterar,1.0
quietar,alvoroçar,1.0
quietar,alvorotar,1.0
quietar,azougar,1.0
quietar,conturbar,1.0
quietar,convulsionar,1.0
quietar,desacomodar,1.0
quietar,desassossegar,1.0
quietar,dessossegar,1.0
quietar,deturbar,1.0
quietar,disturbar,1.0
quietar,estrompar,1.0
quietar,excitar,1.0
quietar,intranqüilizar,1.0
quietar,perturbar,1.0
quietar,preocupar,1.0
quietar,transtornar,1.0
quietar,vascolejar,1.0
