source,target,value
raivudo,abespinhado,1.0
raivudo,abespinhável,1.0
raivudo,agastadiço,1.0
raivudo,anojadiço,1.0
raivudo,árdego,1.0
raivudo,argonaço,1.0
raivudo,assanhadiço,1.0
raivudo,assomadiço,1.0
raivudo,assomado,1.0
raivudo,atrabiliário,1.0
raivudo,atrabilioso,1.0
raivudo,azougado,1.0
raivudo,cavaquista,1.0
raivudo,colérico,1.0
raivudo,fogoso,1.0
raivudo,genioso,1.0
raivudo,iracundo,1.0
raivudo,irascível,1.0
raivudo,iroso,1.0
raivudo,irritadiço,1.0
raivudo,irritável,1.0
raivudo,raivento,1.0
raivudo,tomadiço,1.0
raivudo,violento,1.0
raivudo,zangadiço,1.0
raivudo,zangado,1.0
