source,target,value
rastro,rabo,1.0
rastro,rasto,1.0
rastro,esteira,1.0
rastro,rasto,1.0
rastro,relheira,1.0
rastro,relheiro,1.0
rastro,rieira,1.0
rastro,rodeira,1.0
rastro,trilha,1.0
rastro,indício,1.0
rastro,laivo,1.0
rastro,marca,1.0
rastro,rabeira,1.0
rastro,rasto,1.0
rastro,ressaibo,1.0
rastro,sinal,1.0
rastro,testemunho,1.0
rastro,tinta,1.0
rastro,tintura,1.0
rastro,toque,1.0
rastro,traço,1.0
rastro,vestígio,1.0
rastro,vislumbre,1.0
rastro,viso,1.0
rastro,pegada,1.0
rastro,pisada,1.0
rastro,pista,1.0
rastro,rasto,1.0
rastro,vestígio,1.0
