source,target,value
reaproximar,apaziguar,1.0
reaproximar,avir,1.0
reaproximar,benquistar,1.0
reaproximar,compatibilizar,1.0
reaproximar,compor,1.0
reaproximar,concertar,1.0
reaproximar,conciliar,1.0
reaproximar,concordar,1.0
reaproximar,conformar,1.0
reaproximar,congraçar,1.0
reaproximar,consociar,1.0
reaproximar,dispor,1.0
reaproximar,engraçar,1.0
reaproximar,enlaçar,1.0
reaproximar,entrosar,1.0
reaproximar,harmonizar,1.0
reaproximar,paziguar,1.0
reaproximar,recompor,1.0
reaproximar,reconciliar,1.0
reaproximar,recongraçar,1.0
reaproximar,reunir,1.0
reaproximar,sintonizar,1.0
reaproximar,temperar,1.0
reaproximar,unificar,1.0
reaproximar,desamistar,1.0
reaproximar,desarmonizar,1.0
reaproximar,desavir,1.0
reaproximar,descombinar,1.0
reaproximar,desconcertar,1.0
reaproximar,desconciliar,1.0
reaproximar,desentrosar,1.0
reaproximar,dividir,1.0
reaproximar,incompatibilizar,1.0
reaproximar,indispor,1.0
reaproximar,inimistar,1.0
reaproximar,inimizar,1.0
reaproximar,malquistar,1.0
