source,target,value
rebaixa,destronizar,1.0
rebaixa,vencer,1.0
rebaixa,desautorar,1.0
rebaixa,exautorar,1.0
rebaixa,empoleirar,1.0
rebaixa,escolher,1.0
rebaixa,nomear,1.0
rebaixa,promover,1.0
rebaixa,abaratear,1.0
rebaixa,abater,1.0
rebaixa,arrefeçar,1.0
rebaixa,avilar,1.0
rebaixa,aviltar,1.0
rebaixa,baratar,1.0
rebaixa,baratear,1.0
rebaixa,demonetizar,1.0
rebaixa,depreciar,1.0
rebaixa,desabonar,1.0
rebaixa,desencarecer,1.0
rebaixa,desvalorizar,1.0
rebaixa,envilecer,1.0
rebaixa,regatear,1.0
rebaixa,aumentar,1.0
rebaixa,avultar,1.0
rebaixa,elevar,1.0
rebaixa,encarecer,1.0
rebaixa,majorar,1.0
rebaixa,subir,1.0
rebaixa,valorar,1.0
rebaixa,valorizar,1.0
rebaixa,depreciar,1.0
rebaixa,desengrandecer,1.0
rebaixa,desenobrecer,1.0
rebaixa,desgabar,1.0
rebaixa,deslustrar,1.0
rebaixa,desnobrecer,1.0
rebaixa,desprestigiar,1.0
rebaixa,desprimorar,1.0
rebaixa,desvirtuar,1.0
rebaixa,inferiorizar,1.0
rebaixa,cantar,1.0
rebaixa,consagrar,1.0
rebaixa,divinizar,1.0
rebaixa,elevar,1.0
rebaixa,enaltar,1.0
rebaixa,enaltecer,1.0
rebaixa,encumear,1.0
rebaixa,engrandecer,1.0
rebaixa,enobrecer,1.0
rebaixa,exalçar,1.0
rebaixa,exaltar,1.0
rebaixa,extremar,1.0
rebaixa,heroificar,1.0
rebaixa,levantar,1.0
rebaixa,sobalçar,1.0
rebaixa,soberanizar,1.0
rebaixa,sobredoirar,1.0
rebaixa,sobredourar,1.0
rebaixa,sublimar,1.0
