source,target,value
rebrilhante,brilhante,1.0
rebrilhante,candente,1.0
rebrilhante,cintilante,1.0
rebrilhante,estrelante,1.0
rebrilhante,flamante,1.0
rebrilhante,flameante,1.0
rebrilhante,flamejante,1.0
rebrilhante,flâmeo,1.0
rebrilhante,flamíneo,1.0
rebrilhante,fulgente,1.0
rebrilhante,fúlgido,1.0
rebrilhante,fulgurante,1.0
rebrilhante,fulguroso,1.0
rebrilhante,lúcido,1.0
rebrilhante,nitente,1.0
rebrilhante,nítido,1.0
rebrilhante,perfulgente,1.0
rebrilhante,prefulgente,1.0
rebrilhante,radiante,1.0
rebrilhante,radioso,1.0
rebrilhante,rebrilhoso,1.0
rebrilhante,refulgente,1.0
rebrilhante,refúlgido,1.0
rebrilhante,reluzente,1.0
rebrilhante,resplandecente,1.0
rebrilhante,resplandente,1.0
rebrilhante,resplendente,1.0
rebrilhante,resplendoroso,1.0
rebrilhante,bacento,1.0
rebrilhante,baciado,1.0
rebrilhante,baço,1.0
rebrilhante,embaçado,1.0
rebrilhante,embaciado,1.0
rebrilhante,empanado,1.0
rebrilhante,fosco,1.0
rebrilhante,mate,1.0
rebrilhante,rofo,1.0
rebrilhante,vidrado,1.0
rebrilhante,vidrento,1.0
