source,target,value
recomendar,encomendar,1.0
recomendar,comissionar,1.0
recomendar,confiar,1.0
recomendar,dar,1.0
recomendar,deixar,1.0
recomendar,delegar,1.0
recomendar,deputar,1.0
recomendar,encargar,1.0
recomendar,encarregar,1.0
recomendar,encomendar,1.0
recomendar,incumbir,1.0
recomendar,desincumbir,1.0
recomendar,admoestar,1.0
recomendar,amoestar,1.0
recomendar,inculcar,1.0
recomendar,indicar,1.0
recomendar,indigitar,1.0
recomendar,preconizar,1.0
recomendar,predicar,1.0
recomendar,pregar,1.0
recomendar,receitar,1.0
recomendar,sugerir,1.0
