source,target,value
regenerar,regerar,1.0
regenerar,reproduzir,1.0
regenerar,reabilitar,1.0
regenerar,recuperar,1.0
regenerar,redimir,1.0
regenerar,remir,1.0
regenerar,resgatar,1.0
regenerar,arrumar,1.0
regenerar,beneficiar,1.0
regenerar,consertar,1.0
regenerar,recompor,1.0
regenerar,recuperar,1.0
regenerar,refazer,1.0
regenerar,reformar,1.0
regenerar,remontar,1.0
regenerar,renovar,1.0
regenerar,reparar,1.0
regenerar,restabelecer,1.0
regenerar,apodrecer,1.0
regenerar,arruinar,1.0
regenerar,assolapar,1.0
regenerar,avariar,1.0
regenerar,combalir,1.0
regenerar,danar,1.0
regenerar,danificar,1.0
regenerar,daninhar,1.0
regenerar,desconsertar,1.0
regenerar,desmelhorar,1.0
regenerar,deteriorar,1.0
regenerar,escalavrar,1.0
regenerar,estragar,1.0
regenerar,estrompar,1.0
regenerar,gastar,1.0
regenerar,inutilizar,1.0
regenerar,maleficiar,1.0
regenerar,maltratar,1.0
regenerar,minar,1.0
regenerar,molestar,1.0
regenerar,prejudicar,1.0
regenerar,solapar,1.0
regenerar,vitimar,1.0
