source,target,value
relatar,enumerar,1.0
relatar,narrar,1.0
relatar,numerar,1.0
relatar,contar,1.0
relatar,declarar,1.0
relatar,desfiar,1.0
relatar,dizer,1.0
relatar,enarrar,1.0
relatar,esfiar,1.0
relatar,expor,1.0
relatar,historiar,1.0
relatar,mencionar,1.0
relatar,narrar,1.0
relatar,recontar,1.0
relatar,referir,1.0
relatar,soletrar,1.0
relatar,comunicar,1.0
relatar,contar,1.0
relatar,dar,1.0
relatar,informar,1.0
relatar,noticiar,1.0
relatar,notificar,1.0
relatar,participar,1.0
relatar,reportar,1.0
