source,target,value
rematar,aperfeiçoar,1.0
rematar,perfeiçoar,1.0
rematar,aprontar,1.0
rematar,cerrar,1.0
rematar,complementar,1.0
rematar,completar,1.0
rematar,concluir,1.0
rematar,consumar,1.0
rematar,desfechar,1.0
rematar,encerrar,1.0
rematar,enfenecer,1.0
rematar,epilogar,1.0
rematar,expirar,1.0
rematar,fechar,1.0
rematar,fenecer,1.0
rematar,finalizar,1.0
rematar,finar-se,1.0
rematar,findar,1.0
rematar,inteirar,1.0
rematar,liquidar,1.0
rematar,liqüidar,1.0
rematar,morrer,1.0
rematar,perfazer,1.0
rematar,prontificar,1.0
rematar,selar,1.0
rematar,terminar,1.0
rematar,trancar,1.0
rematar,ultimar,1.0
rematar,começar,1.0
rematar,encetar,1.0
rematar,entabular,1.0
rematar,entrar,1.0
rematar,estabelecer,1.0
rematar,estrear,1.0
rematar,incoar,1.0
rematar,iniciar,1.0
rematar,principiar,1.0
rematar,puxar,1.0
rematar,romper,1.0
rematar,travar,1.0
