source,target,value
remoer,recomer,1.0
remoer,remascar,1.0
remoer,remastigar,1.0
remoer,ruminar,1.0
remoer,aferroar,1.0
remoer,afligir,1.0
remoer,amarfanhar,1.0
remoer,amolestar,1.0
remoer,amorfanhar,1.0
remoer,assetar,1.0
remoer,assetear,1.0
remoer,atormentar,1.0
remoer,atritar,1.0
remoer,brutalizar,1.0
remoer,chagar,1.0
remoer,cruciar,1.0
remoer,crucificar,1.0
remoer,crucifixar,1.0
remoer,dilacerar,1.0
remoer,escarnificar,1.0
remoer,espicaçar,1.0
remoer,excruciar,1.0
remoer,exulcerar,1.0
remoer,flagelar,1.0
remoer,lacerar,1.0
remoer,macerar,1.0
remoer,magoar,1.0
remoer,maltratar,1.0
remoer,martirizar,1.0
remoer,moer,1.0
remoer,molestar,1.0
remoer,mortificar,1.0
remoer,sangrar,1.0
remoer,setear,1.0
remoer,seviciar,1.0
remoer,supliciar,1.0
remoer,torturar,1.0
remoer,tratear,1.0
remoer,cismar,1.0
remoer,corvejar,1.0
remoer,imaginar,1.0
remoer,magicar,1.0
remoer,matinar,1.0
remoer,matutar,1.0
remoer,parafusar,1.0
remoer,remorder,1.0
remoer,roer,1.0
remoer,ruminar,1.0
