source,target,value
remover,alevantar,1.0
remover,levantar,1.0
remover,retirar,1.0
remover,vastar,1.0
remover,abjugar,1.0
remover,afastar,1.0
remover,amover,1.0
remover,apartar,1.0
remover,arrancar,1.0
remover,arredar,1.0
remover,desachegar,1.0
remover,desaconchegar,1.0
remover,desapartar,1.0
remover,desconchegar,1.0
remover,despartir,1.0
remover,desviar,1.0
remover,distanciar,1.0
remover,espaçar,1.0
remover,espacejar,1.0
remover,repartir,1.0
remover,separar,1.0
remover,tirar,1.0
remover,acercar,1.0
remover,achegar,1.0
remover,aconchegar,1.0
remover,ajuntar,1.0
remover,aproximar,1.0
remover,avizinhar,1.0
remover,chegar,1.0
remover,conchegar,1.0
remover,unir,1.0
remover,vizinhar,1.0
remover,mexer,1.0
remover,remexer,1.0
remover,revolver,1.0
remover,voltar,1.0
remover,transferir,1.0
