source,target,value
reportar,adomar,1.0
reportar,agrilhoar,1.0
reportar,amansar,1.0
reportar,brecar,1.0
reportar,bridar,1.0
reportar,coibir,1.0
reportar,comedir,1.0
reportar,conter,1.0
reportar,domar,1.0
reportar,dominar,1.0
reportar,embridar,1.0
reportar,enfrear,1.0
reportar,enfrenar,1.0
reportar,engolir,1.0
reportar,frear,1.0
reportar,frenar,1.0
reportar,medir,1.0
reportar,moderar,1.0
reportar,modicar,1.0
reportar,rebater,1.0
reportar,refrear,1.0
reportar,represar,1.0
reportar,reprimir,1.0
reportar,sofrear,1.0
reportar,sopear,1.0
reportar,sopitar,1.0
reportar,soporizar,1.0
reportar,suster,1.0
reportar,temperar,1.0
reportar,vencer,1.0
reportar,comunicar,1.0
reportar,contar,1.0
reportar,dar,1.0
reportar,informar,1.0
reportar,noticiar,1.0
reportar,notificar,1.0
reportar,participar,1.0
reportar,relatar,1.0
reportar,aludir,1.0
reportar,apontar,1.0
reportar,citar,1.0
reportar,dar,1.0
reportar,mencionar,1.0
reportar,pontar,1.0
reportar,referir,1.0
reportar,tocar,1.0
