source,target,value
resilir,coar,1.0
resilir,escampar,1.0
resilir,escapar,1.0
resilir,escapulir,1.0
resilir,evadir,1.0
resilir,evitar,1.0
resilir,fugir,1.0
resilir,zarpar,1.0
resilir,ab-rogar,1.0
resilir,anular,1.0
resilir,cancelar,1.0
resilir,cassar,1.0
resilir,derrogar,1.0
resilir,desatar,1.0
resilir,desfazer,1.0
resilir,desvalidar,1.0
resilir,dissolver,1.0
resilir,esfazer,1.0
resilir,invalidar,1.0
resilir,rescindir,1.0
resilir,revocar,1.0
resilir,revogar,1.0
resilir,suprimir,1.0
resilir,suspender,1.0
resilir,restaurar,1.0
resilir,validar,1.0
