source,target,value
resoluto,assente,1.0
resoluto,decidido,1.0
resoluto,deliberado,1.0
resoluto,determinado,1.0
resoluto,feito,1.0
resoluto,resolvido,1.0
resoluto,determinado,1.0
resoluto,firme,1.0
resoluto,inesitante,1.0
resoluto,assustado,1.0
resoluto,bambo,1.0
resoluto,claudicante,1.0
resoluto,duvidoso,1.0
resoluto,hesitante,1.0
resoluto,incerto,1.0
resoluto,indeciso,1.0
resoluto,indeliberado,1.0
resoluto,perplexo,1.0
resoluto,titubante,1.0
resoluto,titubeante,1.0
resoluto,trêmulo,1.0
resoluto,trepidante,1.0
resoluto,vacilante,1.0
resoluto,afoito,1.0
resoluto,afouto,1.0
resoluto,aguerrido,1.0
resoluto,alentado,1.0
resoluto,alentoso,1.0
resoluto,alto,1.0
resoluto,animoso,1.0
resoluto,ardido,1.0
resoluto,arrogante,1.0
resoluto,arrojado,1.0
resoluto,audacioso,1.0
resoluto,audaz,1.0
resoluto,aventuroso,1.0
resoluto,bravo,1.0
resoluto,brioso,1.0
resoluto,corajoso,1.0
resoluto,corajudo,1.0
resoluto,denodado,1.0
resoluto,desassombrado,1.0
resoluto,desmedroso,1.0
resoluto,destemeroso,1.0
resoluto,destemido,1.0
resoluto,esforçado,1.0
resoluto,estrênuo,1.0
resoluto,foito,1.0
resoluto,forte,1.0
resoluto,guapo,1.0
resoluto,impávido,1.0
resoluto,impertérrito,1.0
resoluto,intemente,1.0
resoluto,intérrito,1.0
resoluto,intimorato,1.0
resoluto,intrépido,1.0
resoluto,longânime,1.0
resoluto,longânimo,1.0
resoluto,ousado,1.0
resoluto,temido,1.0
resoluto,teso,1.0
resoluto,valente,1.0
resoluto,valoroso,1.0
resoluto,cobarde,1.0
resoluto,covarde,1.0
resoluto,fracalhão,1.0
resoluto,fraco,1.0
resoluto,froixo,1.0
resoluto,frouxo,1.0
resoluto,ignavo,1.0
resoluto,medroso,1.0
resoluto,mofino,1.0
resoluto,poltrão,1.0
resoluto,pusilânime,1.0
