source,target,value
restaurar,reanimar,1.0
restaurar,refrescar,1.0
restaurar,restabelecer,1.0
restaurar,ab-rogar,1.0
restaurar,anular,1.0
restaurar,cancelar,1.0
restaurar,cassar,1.0
restaurar,derrogar,1.0
restaurar,desatar,1.0
restaurar,desfazer,1.0
restaurar,desvalidar,1.0
restaurar,dissolver,1.0
restaurar,esfazer,1.0
restaurar,invalidar,1.0
restaurar,rescindir,1.0
restaurar,resilir,1.0
restaurar,revocar,1.0
restaurar,revogar,1.0
restaurar,suprimir,1.0
restaurar,suspender,1.0
restaurar,viciar,1.0
restaurar,reformar,1.0
